study_accession,paper_id,pmid,pmcid,doi,title
PRJEB29052,30505830,30505830.0,PMC6250747,10.3389/fped.2018.00347,Effects of Probiotic Supplementation on the Gut Microbiota and Antibiotic Resistome Development in Preterm Infants.
PRJNA497734,30559407,30559407.0,PMC6384140,10.1038/s41564-018-0321-5,Genomic variation and strain-specific functional adaptation in the human gut microbiome during early life.
PRJNA231909,30661755,30661755.0,PMC6349461,10.1016/j.cell.2019.01.001,"Extensive Unexplored Human Microbiome Diversity Revealed by Over 150,000 Genomes from Metagenomes Spanning Age, Geography, and Lifestyle."
PRJNA485056,30661755,30661755.0,PMC6349461,10.1016/j.cell.2019.01.001,"Extensive Unexplored Human Microbiome Diversity Revealed by Over 150,000 Genomes from Metagenomes Spanning Age, Geography, and Lifestyle."
PRJNA504891,30661755,30661755.0,PMC6349461,10.1016/j.cell.2019.01.001,"Extensive Unexplored Human Microbiome Diversity Revealed by Over 150,000 Genomes from Metagenomes Spanning Age, Geography, and Lifestyle."
PRJNA231909,30710083,30710083.0,PMC6358638,10.1038/s41467-019-08377-w,Trait-based community assembly and succession of the infant gut microbiome.
PRJNA290380,30894435,30894435.0,PMC6429046,10.1128/mspheredirect.00152-19,Identification of Differentiating Metabolic Pathways between Infant Gut Microbiome Populations Reveals Depletion of Function-Level Adaptation to Human Milk in the Finnish Population.
PRJNA543520,31337807,31337807.0,PMC6650395,10.1038/s41598-019-46964-5,Impact of intrapartum and postnatal antibiotics on the gut microbiome and emergence of antimicrobial resistance in infants.
PRJNA484151,31379808,31379808.0,PMC6648804,10.3389/fimmu.2019.01509,Amish (Rural) vs. non-Amish (Urban) Infant Fecal Microbiotas Are Highly Diverse and Their Transplantation Lead to Differences in Mucosal Immune Maturation in a Humanized Germfree Piglet Model.
PRJNA390646,31423298,31423298.0,PMC6693174,10.1186/s13756-019-0583-6,Early-life gut microbiome modulation reduces the abundance of antibiotic-resistant bacteria.
PRJEB32631,31534227,31534227.0,PMC6894937,10.1038/s41586-019-1560-1,Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth.
