study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA345651,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345652,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345653,excluded,assay_isolate_genome,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345654,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345659,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345660,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345661,excluded,assay_isolate_genome,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345663,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA345664,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347260,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347261,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347262,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347263,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347264,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347265,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347266,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347267,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347268,excluded,assay_amplicon_misfiled,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347269,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347270,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347271,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347272,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347273,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347274,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347275,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347276,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347277,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347278,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA347279,excluded,assay_other_nonshotgun,0,,,0,0,0,"National Institute for Viral Disease Control and Prevention, China CDC",False,True,True
PRJNA349463,excluded,age_adult_only,8,Winglee K,Gordon-Larsen P,1,0,1,University of North Carolina at Charlotte,True,True,True
PRJNA353598,excluded,assay_other_nonshotgun,14,Zuo T,Ng SC,1,0,1,The chinese university of china,True,True,True
PRJNA353655,excluded,age_adult_only,0,,,0,0,0,University of Chicago,False,True,True
PRJNA362245,excluded,site_excluded,7,Costello EK,Relman DA,2,0,2,"Relman Lab, Stanford University School of Medicine",True,True,True
PRJNA363003,included,,0,,,0,0,0,Nestle Research center,False,True,True
PRJNA376566,included,,118,Brooks B,Banfield JF,14,14,0,,True,False,True
PRJNA379120,included,,124,Wampach L,Wilmes P,17,17,0,Luxembourg Centre for Systems Biomedicine,True,True,True
PRJNA380031,included,,37,Duranti S,Ventura M,2,2,0,University of Parma,True,True,True
PRJNA380159,excluded,age_child_over_36m,0,,,0,0,0,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",False,True,True
PRJNA380727,excluded,site_excluded,0,,,0,0,0,Peking University School of Stomatology,False,True,True
PRJNA382011,excluded,age_adult_only,17,Argentini C,Ventura M,1,1,0,"J. CRAIG VENTER INSTITUTE, INC.",True,True,True
PRJNA383868,excluded,site_excluded,21,Gomez A,Nelson KE,3,0,3,J. Craig Venter Institute,True,True,True
PRJNA384716,included,,77,Pärnänen K,Virta M,9,9,0,University of Helsinki,True,True,True
PRJNA385009,excluded,site_excluded,0,,,0,0,0,Stanford University,False,True,True
PRJNA390646,included,,79,Frese SA,Underwood MA,9,9,0,"Evolve Biosystems, Inc",True,True,True
PRJNA396064,excluded,site_excluded,32,Pastrana DV,Buck CB,1,0,1,National Cancer Institute,True,True,True
PRJNA396794,included,,88,Rahman SF,Banfield JF,10,10,0,Jill Banfield's Lab at Berkeley,True,True,True
PRJNA396840,excluded,site_excluded,10,Belstrøm D,Givskov M,1,0,1,NTU,True,True,True
PRJNA400259,excluded,site_excluded,15,Seferovic MD,Aagaard KM,2,2,0,Baylor College of Medicine,True,True,True
PRJNA415207,excluded,assay_other_nonshotgun,0,,,0,0,0,Blood Systems Research Institute,False,True,True
PRJNA415710,excluded,site_excluded,0,,,0,0,0,"Indian Institute of Science Education and Research, Bhopal",False,True,True
PRJNA417343,included,,16,Lugli GA,Ventura M,2,1,1,Jill Banfield's Lab at Berkeley,True,True,True
PRJNA417939,excluded,assay_amplicon,0,,,0,0,0,JCVI,False,True,True
PRJNA421352,excluded,age_child_over_36m,0,,,0,0,0,JCVI,False,True,True
PRJNA421549,excluded,site_excluded,0,,,0,0,0,UMCG,False,True,True
PRJNA422569,included,,33,Milani C,Ventura M,5,5,0,University of Parma,True,True,True
PRJNA431306,excluded,site_excluded,0,,,0,0,0,Broad Institute,False,True,True
PRJNA433393,included,,0,,,0,0,0,Jill Banfield's Lab at Berkeley,False,True,True
PRJNA434331,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA436562,included,,60,Taft DH,Mills DA,9,9,0,"University of California, Davis",True,True,True
PRJNA438164,excluded,age_child_over_36m,0,,,0,0,0,Keck School of Medicine of the University of Southern California,False,True,True
PRJNA445348,excluded,site_excluded,0,,,0,0,0,CORNELL UNIVERSITY,False,True,True
PRJNA445932,excluded,assay_amplicon,23,Huang S,Yadav H,3,1,2,Charles University in Prague,True,True,True
PRJNA446042,excluded,site_excluded,4,Ramos-Tapia I,Castro-Nallar E,1,0,1,Andres Bello University,True,True,True
PRJNA448135,excluded,site_excluded,0,,,0,0,0,,False,False,True
PRJNA448876,excluded,age_adult_only,0,,,0,0,0,,False,False,False
PRJNA451186,excluded,site_excluded,14,Leiby JS,Bushman FD,1,1,0,University of Pennsylvania,True,True,True
PRJNA451212,excluded,age_maternal_only,0,,,0,0,0,Baylor College of Medicine,False,True,True
PRJNA46337,included,,36,Pammi M,Neu J,2,2,0,Washington University,True,True,True
PRJNA470402,excluded,site_excluded,0,,,0,0,0,Peking University School of Stomatology,False,True,True
PRJNA471730,excluded,age_adult_only,0,,,0,0,0,Jill Banfield's Lab at Berkeley,False,True,True
PRJNA471749,excluded,assay_other_nonshotgun,0,,,0,0,0,Jiangsu University,False,True,True
PRJNA471751,excluded,assay_other_nonshotgun,0,,,0,0,0,Jiangsu University,False,True,True
PRJNA471938,excluded,site_excluded,0,,,0,0,0,Chung-Ang University,False,True,True
PRJNA471988,excluded,assay_other_nonshotgun,0,,,0,0,0,Jiangsu University,False,True,True
PRJNA472006,excluded,site_excluded,0,,,0,0,0,Karolinska Institutet,False,True,True
PRJNA472963,excluded,assay_other_nonshotgun,0,,,0,0,0,Imperial College London,False,True,True
PRJNA473126,included,,195,Baumann-Dudenhoeffer AM,Dantas G,23,23,0,Washington University in St Louis,True,True,True
PRJNA473348,excluded,age_adult_only,13,Penney NC,Holmes E,1,0,1,Imperial College London,True,True,True
PRJNA474932,excluded,site_excluded,0,,,0,0,0,TGen North,False,True,True
PRJNA475246,included,,150,Wang S,Stanton C,22,22,0,Broad Institute of MIT and Harvard,True,True,True
PRJNA480674,excluded,age_child_over_36m,0,,,0,0,0,University of Alberta,False,True,True
PRJNA480711,excluded,age_child_over_36m,0,,,0,0,0,University of California Los Angeles,False,True,True
PRJNA483035,excluded,site_excluded,0,,,0,0,0,University of Washington,False,True,True
PRJNA484080,excluded,host_nonhuman,0,,,0,0,0,The University of Hong Kong,False,True,True
PRJNA486782,included,,47,Leonard MM,CD-GEMM Team,6,6,0,CosmosID,True,True,True
PRJNA489090,included,,137,Thänert R,Warner BW,14,14,0,Washington University in St. Louis,True,True,True
PRJNA497734,included,,105,Vatanen T,Xavier RJ,12,12,1,Broad Institute,True,True,True
PRJNA506262,excluded,assay_other_nonshotgun,0,,,0,0,0,University of Alberta,False,True,True
PRJNA508395,included,,3,Moss EL,Bhatt AS,1,0,1,Stanford University,True,True,True
PRJNA511633,excluded,age_child_over_36m,0,,,0,0,0,"WeHealthGene Co., Ltd.",False,True,True
PRJNA511899,excluded,age_maternal_only,0,,,0,0,0,"Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China",False,True,True
PRJNA514966,excluded,site_excluded,0,,,0,0,0,Igenomix,False,True,True
PRJNA521455,excluded,age_child_over_36m,0,,,0,0,0,University of Edinburgh,False,True,True
PRJNA524703,included,,63,Fontana F,Milani C,14,13,1,UNIVERSITY OF PENNSYLVANIA,True,True,True
PRJNA525982,excluded,age_child_over_36m,14,D'Amico F,Candela M,1,0,1,National Research Council (CNR),True,True,True
PRJNA528511,excluded,age_adult_only,0,,,0,0,0,Broad Institute,False,True,True
PRJNA529230,excluded,age_adult_only,8,Tarracchini C,Milani C,1,1,0,Rush University Medical Center,True,True,True
PRJNA529487,excluded,age_adult_only,0,,,0,0,0,"University of California, San Francisco",False,True,True
PRJNA529586,excluded,age_adult_only,0,,,0,0,0,UMass Medical School,False,True,True
PRJNA530270,excluded,site_excluded,0,,,0,0,0,Blood Systems Research Institute,False,True,True
PRJNA530620,excluded,age_child_over_36m,0,,,0,0,0,Peking Union Medical College Hospital,False,True,True
PRJNA532310,included,,19,Pärnänen KMM,Virta MP,2,2,0,University of Helsinki,True,True,True
PRJNA532645,excluded,age_child_over_36m,0,,,0,0,0,Broad Institute,False,True,True
PRJNA542703,included,,75,Di Guglielmo MD,Crowgey EL,14,14,0,Nemours/AI duPont Hospital for Children,True,True,True
PRJNA542938,excluded,site_excluded,0,,,0,0,0,Baylor College of Medicine,False,True,True
PRJNA543520,included,,56,Tapiainen T,Tejesvi MV,9,9,0,J Craig Venter Institute,True,True,True
PRJNA545633,excluded,site_excluded,0,,,0,0,0,Igenomix,False,True,True
PRJNA549787,included,,59,D'Souza AW,Dantas G,12,12,1,Washington University in St. Louis School of Medicine,True,True,True
PRJNA550105,excluded,assay_other_nonshotgun,0,,,0,0,0,Centers for Disease Control and Prevention,False,True,True
PRJNA551026,excluded,site_excluded,13,Williams MR,Gallo RL,1,0,1,J Craig Venter Institute,True,True,True
PRJNA553028,excluded,assay_other_nonshotgun,0,,,0,0,0,Taizhou People's Hospital,False,True,True
PRJNA555020,included,,49,Reyman M,Bogaert D,7,7,0,"Wilhelmina Childrens Hospital, University Medical Center Utrecht",True,True,True
PRJNA557226,excluded,assay_other_nonshotgun,23,Aykut B,Miller G,1,0,1,"New York University College of Dentistry, School of Medicine",True,True,True
PRJNA557323,excluded,age_unknown_no_evidence,0,,,0,0,0,Chinese University of Hong Kong,False,True,True
PRJNA557731,included,,100,Bittinger K,Wu GD,11,10,1,Children's Hospital of Philadelphia,True,True,True
PRJNA559557,excluded,assay_amplicon,0,,,0,0,0,china agricultural university,False,True,True
PRJNA560243,excluded,site_excluded,0,,,0,0,0,Leiden University Medical Center,False,True,True
PRJNA562998,excluded,assay_other_nonshotgun,0,,,0,0,0,,False,False,True
PRJNA563976,excluded,site_excluded,0,,,0,0,0,The University of Sydney,False,True,True
PRJNA565161,excluded,site_excluded,0,,,0,0,0,APHP,False,True,True
PRJNA565627,excluded,age_adult_only,0,,,0,0,0,Guangdong University of Technology,False,True,True
PRJNA565681,excluded,site_excluded,0,,,0,0,0,ArcBio,False,True,True
PRJNA572371,excluded,site_excluded,0,,,0,0,0,Shenzhen Children's Hospital,False,True,True
PRJNA573045,excluded,assay_other_nonshotgun,0,,,0,0,0,CDC Pathogen Discovery Team,False,True,True
PRJNA573416,excluded,age_unknown_no_evidence,0,,,0,0,0,Hong Kong Baptist University,False,True,True
PRJNA573821,excluded,age_adult_only,18,Seelbinder B,Panagiotou G,1,0,1,Leibniz Institute for Natural Product Research and Infection Biology - Hans Knoell Institute (HKI),True,True,True
PRJNA575186,excluded,age_adult_only,0,,,0,0,0,Helmholtz Centre for Environmental Research,False,True,True
PRJNA576033,excluded,site_excluded,0,,,0,0,0,Sidra Medicine,False,True,True
PRJNA576566,excluded,site_excluded,0,,,0,0,0,"Women's Hospital, School of Medicine, Zhejiang University",False,True,True
PRJNA578008,excluded,host_nonhuman,0,,,0,0,0,Sichuan agricultural university,False,True,True
PRJNA578889,excluded,assay_other_nonshotgun,0,,,0,0,0,Jiangsu University,False,True,True
PRJNA588627,excluded,age_unknown_no_evidence,0,,,0,0,0,Chinese Human Genome Center at Shanghai,False,True,True
PRJNA588650,excluded,site_excluded,0,,,0,0,0,"Oxford University Clinical Research Unit; University Clinical Research Unit, Ho Chi Minh City, Vietnam",False,True,True
PRJNA589017,excluded,site_excluded,0,,,0,0,0,University of Geneva Medical School,False,True,True
PRJNA589343,excluded,assay_other_nonshotgun,11,Ding X,Zhu C,1,0,1,Gothenburg University,True,True,True
PRJNA590135,excluded,site_excluded,0,,,0,0,0,Centers for Disease Control and Prevention,False,True,True
PRJNA590575,excluded,site_excluded,8,Blanco-Picazo P,Navarro F,1,0,1,Hospital de la Santa Creu i Sant Pau,True,True,True
PRJNA592843,excluded,age_unknown_no_evidence,10,Chen K,Fang B,1,0,1,Xiamen University,True,True,True
PRJNA595749,included,,22,Busi SB,Wilmes P,3,3,0,University of Luxembourg,True,True,True
PRJNA596624,excluded,age_adult_only,0,,,0,0,0,Kasetsart University,False,True,True
PRJNA601757,excluded,site_excluded,0,,,0,0,0,Icahn School of Medicine at Mount Sinai,False,True,True
PRJNA604850,excluded,age_maternal_only,0,,,0,0,0,The Walter and Eliza Hall Institute of medical resarch; ENDIA,False,True,True
PRJNA60717,included,,15,Olm MR,Banfield JF,3,2,1,Univ. of Calif. Berkeley,True,True,True
PRJNA608678,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Montreal,False,True,True
PRJNA609394,excluded,host_nonhuman,0,,,0,0,0,Children Hospital of Chongqing Medical University,False,True,True
PRJNA612291,excluded,age_adult_only,0,,,0,0,0,Baylor College Of Medicine,False,True,True
PRJNA613032,included,,12,Reyman M,Bogaert D,1,1,0,"Wilhelmina Childrens Hospital, University Medical Center Utrecht",True,True,True
PRJNA613054,included,,12,Reyman M,Bogaert D,1,1,0,"Wilhelmina Childrens Hospital, University Medical Center Utrecht",True,True,True
PRJNA624185,excluded,site_excluded,7,Baker JL,Edlund A,3,0,3,J. Craig Venter Institute,True,True,True
PRJNA625611,excluded,age_maternal_only,0,,,0,0,0,Scientific Centre for Family Health and Human Reproduction Problems,False,True,True
PRJNA629392,included,,54,Lugli GA,Ventura M,2,1,1,Marmara University; NIAID Microbiome Program Sequencing Platform,True,True,True
PRJNA630999,included,,62,Nguyen M,Henrick BM,4,4,0,Evolve Biosystems Inc.,True,True,True
PRJNA633381,excluded,age_unknown_no_evidence,17,Moll JM,Hammarström L,1,0,1,Technical University of Denmark,True,True,True
PRJNA633576,included,,68,Casaburi G,Freeman SL,8,8,0,Evolve Biosystems Inc.,True,True,True
PRJNA63661,included,,79,Taft DH,Morrow AL,10,9,1,Broad Institute,True,True,True
PRJNA637785,excluded,age_child_over_36m,15,Leong KSW,Cutfield WS,2,0,2,The University Of Auckland,True,True,True
PRJNA638938,excluded,site_excluded,0,,,0,0,0,Loma Linda University,False,True,True
PRJNA642373,excluded,site_excluded,0,,,0,0,0,Sun Yat-sen University,False,True,True
PRJNA642723,included,,28,Ta LDH,Lee BW,1,1,0,Nanyang Technological University,True,True,True
PRJNA645402,excluded,age_adult_only,0,,,0,0,0,Georgia Institute of Technology,False,True,True
PRJNA648487,included,,18,Chong CYL,O'Sullivan JM,3,3,0,The University Of Auckland,True,True,True
PRJNA656436,excluded,assay_other_nonshotgun,0,,,0,0,0,University Medical Center Utrecht,False,True,True
PRJNA657818,included,,28,Mitchell CM,Yassour M,3,3,0,Xavier,True,True,True
PRJNA659754,excluded,age_unknown_no_evidence,0,,,0,0,0,Evandro Chagas Institute,False,True,True
PRJNA660207,excluded,site_excluded,0,,,0,0,0,Beijing Tiantan Hospital,False,True,True
PRJNA660305,excluded,host_nonhuman,13,Zhang K,Chen Y,1,1,0,Northwest A&F University,True,True,True
PRJNA660443,excluded,age_unknown_no_evidence,10,Hansen ZA,Manning SD,1,0,1,Michigan State University,True,True,True
PRJNA660883,excluded,age_unknown_no_evidence,0,,,0,0,0,Icahn School of Medicine at Mount Sinai,False,True,True
PRJNA660966,excluded,host_nonhuman,13,Zhang K,Chen Y,1,1,0,Northwest A&F University,True,True,True
PRJNA662107,excluded,age_unknown_no_evidence,0,,,0,0,0,Vanderbilt University,False,True,True
PRJNA663926,excluded,site_excluded,0,,,0,0,0,National University of Singapore,False,True,True
PRJNA664544,excluded,age_unknown_no_evidence,17,Argentini C,Ventura M,1,1,0,Xiamen Treatgut Biotechnology Co. LTD,True,True,True
PRJNA664754,excluded,age_adult_only,0,,,0,0,0,Washington University in St. Louis School of Medicine,False,True,True
PRJNA665071,excluded,site_excluded,0,,,0,0,0,Institut des agents infectieux,False,True,True
PRJNA666005,excluded,age_child_over_36m,0,,,0,0,0,Jiangsu University,False,True,True
PRJNA667647,excluded,site_unknown,0,,,0,0,0,LMVR NIAID NIH,False,True,True
PRJNA668202,excluded,age_adult_only,0,,,0,0,0,Children's Hospital of Fudan University,False,True,True
PRJNA668392,excluded,site_excluded,0,,,0,0,0,Broad Institute,False,True,True
PRJNA669199,excluded,assay_amplicon,0,,,0,0,0,Children's Hospital of Fudan University,False,True,True
PRJNA670157,excluded,assay_other_nonshotgun,0,,,0,0,0,University Medical Center Groningen,False,True,True
PRJNA671299,excluded,age_child_over_36m,0,,,0,0,0,UNIV OF NORTH CAROLINA CHAPEL HILL,False,True,True
PRJNA672125,excluded,age_adult_only,0,,,0,0,0,AgResearch,False,True,True
PRJNA675704,excluded,age_adult_only,0,,,0,0,0,"Research Laboratories, Ildong Pharmaceutical",False,True,True
PRJNA681566,excluded,assay_other_nonshotgun,0,,,0,0,0,Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing,False,True,True
PRJNA685797,excluded,age_adult_only,17,Argentini C,Ventura M,1,1,0,Xavier,True,True,True
PRJNA688164,included,,24,Tarracchini C,Milani C,3,3,0,Umea Univerisity,True,True,True
PRJNA690543,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Oklahoma,False,True,True
PRJNA694773,excluded,host_nonhuman,9,Xu H,Hirano K,1,1,0,Inner Mongolia Agricultural University,True,True,True
PRJNA698366,excluded,site_excluded,21,Kelly MS,Seed PC,1,0,1,Duke University,True,True,True
PRJNA698986,included,,73,Lou YC,Banfield JF,7,6,1,"University of California, Berkeley",True,True,True
PRJNA701480,included,,14,Wilson BC,Cutfield WS,2,2,0,The University Of Auckland,True,True,True
PRJNA705895,excluded,age_adult_only,22,Argentini C,Ventura M,2,2,0,Sinai Hospital of Baltimore,True,True,True
PRJNA707065,included,,9,Vatanen T,O'Sullivan JM,1,1,0,University of Auckland; NiPPeR study group,True,True,True
PRJNA715601,included,,58,Li X,Sørensen SJ,6,6,0,university of copenhagen,True,True,True
PRJNA717139,included,,12,West PT,Banfield JF,1,1,1,Jill Banfield's Lab at Berkeley,True,True,True
PRJNA721692,excluded,age_child_over_36m,12,Murga-Garrido SM,Lagunas-Martínez A,1,1,0,INSTITUTO NACIONAL DE SALUD PUBLICA,True,True,True
PRJNA721830,excluded,site_excluded,0,,,0,0,0,The First Affiliated Hospital of Guangxi Medical University,False,True,True
PRJNA725047,excluded,age_unknown_no_evidence,0,,,0,0,0,QuantiHealth,False,True,True
PRJNA725597,included,,0,,,0,0,0,BAYLOR COLLEGE OF MEDICINE,False,True,True
PRJNA726032,included,,26,Lay C,Knol J,1,1,0,Danone Nutricia Research,True,True,True
PRJNA726546,excluded,site_excluded,0,,,0,0,0,University of Rochester School of Medicine and Dentistry,False,True,True
PRJNA727021,excluded,site_excluded,0,,,0,0,0,J. Craig Venter Institute,False,True,True
PRJNA728888,excluded,age_child_over_36m,0,,,0,0,0,Columbia University Medical Center,False,True,True
PRJNA733860,included,,21,Tarracchini C,Ventura M,1,1,0,University of Parma,True,True,True
PRJNA738659,excluded,site_excluded,0,,,0,0,0,Shenzhen children's hospital,False,True,True
PRJNA745160,excluded,site_excluded,0,,,0,0,0,Pettigrew Lab Yale School of Public Health,False,True,True
PRJNA745170,excluded,age_child_over_36m,0,,,0,0,0,Pettigrew Lab Yale School of Public Health,False,True,True
PRJNA746094,excluded,age_child_over_36m,0,,,0,0,0,Children's Cancer Hospital - Egypt 57357 (CCHE57357),False,True,True
PRJNA746509,included,,11,Bordugo A,Felis GE,1,1,0,University of Verona,True,True,True
PRJNA748448,included,,5,Hellmann KT,Robinson DA,1,1,1,University of Mississippi Medical Center,True,True,True
PRJNA750063,excluded,host_nonhuman,0,,,0,0,0,Children's Hospital of Philadelphia,False,True,True
PRJNA751712,included,,8,Westaway JAF,Rudd D,2,2,0,James Cook University,True,True,True
PRJNA752686,included,,5,Schroer HW,Bosch DE,1,1,0,University of Illinois Urbana-Champaign,True,True,True
PRJNA752888,excluded,site_excluded,4,Wang M,Li G,1,1,0,University of Michigan,True,True,True
PRJNA755812,excluded,site_excluded,0,,,0,0,0,"Haihe Hospital, Tianjin University",False,True,True
PRJNA756530,excluded,site_excluded,0,,,0,0,0,THE CHINESE UNIVERSITY OF HONG KONG,False,True,True
PRJNA758416,excluded,site_excluded,0,,,0,0,0,Karolinska Institutet,False,True,True
PRJNA759642,excluded,age_adult_only,0,,,0,0,0,University of Southern California,False,True,True
PRJNA760299,excluded,assay_amplicon,0,,,0,0,0,King Abdulaziz university,False,True,True
PRJNA762089,excluded,age_maternal_only,0,,,0,0,0,University of Maryland Baltimore,False,True,True
PRJNA762668,included,,12,Hanachi M,Souiai O,1,1,0,Institute Pasteur of Tunis; H3ABioNet,True,True,True
PRJNA763343,excluded,site_excluded,0,,,0,0,0,Children's hospital of Fudan university,False,True,True
PRJNA765566,excluded,age_unknown_no_evidence,0,,,0,0,0,Shanghai Jiao Tong University School of Medicine,False,True,True
PRJNA766067,excluded,age_adult_only,0,,,0,0,0,Children's Hospital of Philadelphia,False,True,True
PRJNA766590,excluded,site_excluded,0,,,0,0,0,University of British Columbia,False,True,True
PRJNA770101,included,,0,,,0,0,0,Inner Mongolia Agricultural University,False,True,True
PRJNA772730,included,,12,Bajorek S,Perez J,1,1,0,Evolve BioSystems Inc,True,True,True
PRJNA773237,excluded,age_adult_only,0,,,0,0,0,Southern Medical University,False,True,True
PRJNA774819,included,,18,Ma B,Viscardi RM,1,1,0,University of Maryland,True,True,True
PRJNA776332,included,,9,Lemme-Dumit JM,Ma B,1,1,0,University of Maryland,True,True,True
PRJNA779483,excluded,site_excluded,0,,,0,0,0,Jiangsu University,False,True,True
PRJNA780912,excluded,assay_isolate_genome,0,,,0,0,0,Instituto evandro Chagas,False,True,True
PRJNA781781,excluded,host_nonhuman,8,Yu J,Chen Y,1,1,0,Inner Mongolia Agricultural University,True,True,True
PRJNA782533,excluded,age_child_over_36m,0,,,0,0,0,Arizona State University Tempe,False,True,True
PRJNA782606,excluded,age_adult_only,0,,,0,0,0,University of Washington,False,True,True
PRJNA782857,excluded,site_excluded,0,,,0,0,0,the first affiliated hospital of Zhengzhou university,False,True,True
PRJNA783792,excluded,assay_isolate_genome,0,,,0,0,0,University Medical Center Groningen,False,True,True
PRJNA783956,excluded,site_excluded,0,,,0,0,0,Shanghai Jiaotong University Afffiliated Six People's hospital,False,True,True
PRJNA784638,excluded,site_excluded,0,,,0,0,0,The Second Hospital of Nanjing,False,True,True
PRJNA785820,excluded,site_excluded,0,,,0,0,0,the Second Xiangya Hospital,False,True,True
PRJNA786259,excluded,age_adult_only,0,,,0,0,0,Institution of Digestive Diseases,False,True,True
PRJNA787665,excluded,age_unknown_no_evidence,0,,,0,0,0,Chinese University of Hong Kong,False,True,True
PRJNA787952,excluded,age_child_over_36m,21,Severyn CJ,Whangbo JS,2,0,2,Stanford University,True,True,True
PRJNA788196,excluded,site_excluded,0,,,0,0,0,Children's Cancer Hospital Egypt 57357,False,True,True
PRJNA788217,excluded,assay_other_nonshotgun,0,,,0,0,0,China-Japan friendship hospital,False,True,True
PRJNA788383,excluded,age_child_over_36m,0,,,0,0,0,University of Naples Federico II,False,True,True
PRJNA789106,excluded,age_adult_only,0,,,0,0,0,University of Malaya,False,True,True
PRJNA789273,excluded,site_excluded,6,Berg MG,Cloherty GA,1,0,1,Abbott Laboratories,True,True,True
PRJNA791464,excluded,site_excluded,0,,,0,0,0,"Department of Preventive Dentistry, Peking University School and Hospital of Stomatology",False,True,True
PRJNA794318,excluded,site_excluded,0,,,0,0,0,Children's Hospital of Zhejiang University School of Medicine,False,True,True
PRJNA798191,included,,9,Looijesteijn E,Manios Y,1,1,0,Erasmus MC,True,True,True
PRJNA799199,excluded,site_excluded,9,Marquet M,Brandt C,1,1,0,Jena University Hospital,True,True,True
PRJNA799247,included,,30,Zeng S,Wang S,2,2,0,Washington University School of Medicine,True,True,True
PRJNA800792,excluded,age_adult_only,0,,,0,0,0,Kaleido Biosciences,False,True,True
PRJNA801067,excluded,age_adult_only,0,,,0,0,0,Henan Provincial Peoples Hospital,False,True,True
PRJNA801914,excluded,host_nonhuman,7,Yao G,Zhang H,1,1,0,Inner Mongolia Agricultural University,True,True,True
PRJNA804384,excluded,age_adult_only,10,Jansen D,Matthijnssens J,1,0,1,Catholic University of Leuven,True,True,True
PRJNA804902,excluded,assay_other_nonshotgun,0,,,0,0,0,OARSA/CFSAN/FDA,False,True,True
PRJNA805248,excluded,assay_other_nonshotgun,8,Guitor AK,Stearns JC,1,1,0,McMaster University,True,True,True
PRJNA806679,excluded,site_excluded,0,,,0,0,0,Genoxor Medical Science and Technology Inc,False,True,True
PRJNA806955,excluded,age_adult_only,0,,,0,0,0,Xiangya Hospital; Hunan International Scientific and Technological Cooperation Base of Brain Tumor Research; Zujian Xiong,False,True,True
PRJNA806984,included,,23,Shao Y,Lawley TD,2,1,1,Broad Institute,True,True,True
PRJNA807448,included,,24,Ryan FJ,Lynn DJ,1,1,0,SAHMRI,True,True,True
