study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA691382,excluded,age_unknown_no_evidence,0,,,0,0,0,Institute Of Microbiology Chinese Academy of Sciences,False,True,True
PRJNA1418915,excluded,age_child_over_36m,0,,,0,0,0,Shenzhen People's Hospital,False,True,True
PRJEB7925,excluded,age_unknown_no_evidence,13,Plaza Onate F,Larsen M,1,0,1,Institut National pour la Recherche Agronomique (FRANCE),True,True,True
PRJNA914532,human_review,,15,Fabbrini M,Masetti R,1,0,1,University of Bologna,True,True,True
PRJNA1237248,excluded,age_adult_only,0,,,0,0,0,Harvard T.H. Chan School of Public Health,False,True,True
PRJNA234452,excluded,site_excluded,22,Wilson MR,Chiu CY,1,0,1,"University of California, San Francisco",True,True,True
PRJNA754443,excluded,age_adult_only,0,,,0,0,0,Siolta Therapeutics,False,True,True
PRJNA353874,human_review,,0,,,0,0,0,Washington University in St Louis,False,True,True
PRJNA845014,human_review,,0,,,0,0,0,Peking Union Medical College Hospital,False,True,True
PRJNA343144,included,,7,Rozman V,Bogovič Matijašić B,1,1,0,Mount Sinai School of Medicine,True,True,True
PRJNA299342,included,,0,,,0,0,0,Zhejiang University,False,True,True
PRJEB10133,excluded,age_unknown_no_evidence,0,,,0,0,0,GSTT BRC Bioinformatics,False,True,True
PRJNA1078287,excluded,site_excluded,8,Zelasko S,Currie CR,1,1,0,University of Wisconsin-Madison,True,True,True
PRJNA802048,excluded,assay_amplicon_misfiled,7,González L,Tsukayama P,1,1,0,Universidad Peruana Cayetano Heredia; Laboratorio de Genómica Microbiana,True,True,True
PRJNA1215598,excluded,age_unknown_no_evidence,0,,,0,0,0,ICDC,False,True,True
PRJNA427653,excluded,age_unknown_no_evidence,0,,,0,0,0,"Key Laboratory of Dairy Biotechnology and Engineering, Education Ministry of P. R. China",False,True,True
PRJNA868569,excluded,assay_amplicon_misfiled,0,,,0,0,0,Jiangnan University,False,True,True
PRJNA510445,included,,41,Hayden HS,Hoffman LR,4,4,2,University of Washington,True,True,True
PRJNA858926,included,,17,Xi M,Zhao A,2,2,0,Tsinghua University,True,True,True
PRJNA1009231,excluded,site_excluded,11,Dhariwal A,Petersen FC,1,1,0,"Insititute of Oral Biology, Univeristy of Oslo",True,True,True
PRJNA482729,included,,19,Fontana F,Ventura M,1,1,0,"SAHMRI; Balakrishnan Siddartha Ramakrishna, SRM Institutes for Medical Science, Chennai, India; Balamurugan Ramadass, All India Institute of Medical Sciences, Bhubaneswar, India; Srinivasan Pugazhendhi, Kansas Uniersity Medical Center, Kansas City, Kansas, USA; Elissa Mortimer, Flinders University of south Australia, Australia; Graeme P. Young, Flinders University of South Australia, Australia",True,True,True
PRJNA215106,included,,27,Moore AM,Dantas G,5,5,1,Washington University in St. Louis,True,True,True
PRJNA439151,excluded,age_unknown_no_evidence,0,,,0,0,0,Peking University People's Hospital,False,True,True
PRJNA43253,excluded,age_unknown_no_evidence,11,Turnbaugh PJ,Gordon JI,1,0,1,Washington University; Washington University Center for Genome Sciences,True,True,True
PRJEB50568,included,,0,,,0,0,0,Universidad San Francisco de Quito,False,True,True
PRJNA778020,excluded,site_excluded,7,Qin L,Li L,1,1,0,Genoxor Medical Science and Technology Inc,True,True,True
PRJEB37312,excluded,site_excluded,10,Manenzhe RI,Moodley C,1,1,0,UNIVERSITY OF CAPE TOWN,True,True,True
PRJNA434731,excluded,age_unknown_no_evidence,0,,,0,0,0,Stanford University,False,True,True
PRJNA1259152,included,,0,,,0,0,0,The Chinese University of Hong Kong,False,True,True
PRJNA747761,included,,17,Kim M,Konstantinidis KT,2,2,0,Georgia Institute of Technology,True,True,True
PRJEB46788,included,,31,Mancabelli L,Ventura M,3,3,0,max planck institute for biology,True,True,True
PRJNA1013917,excluded,assay_amplicon_misfiled,10,Piazzesi A,Putignani L,1,0,1,Bambino Gesu Childrens Hospital,True,True,True
PRJNA644725,included,,40,Tan SK,Chiu CY,4,4,0,"University of California, San Francisco",True,True,True
PRJNA1051094,included,,0,,,0,0,0,Arizona State University,False,True,True
PRJNA1225421,included,,0,,,0,0,0,University of Washington,False,True,True
PRJNA521878,included,,56,Zeng S,Wang S,6,6,0,Children's Hospital Los Angeles,True,True,True
PRJNA1200823,excluded,assay_amplicon_misfiled,0,,,0,0,0,CAS Center for Excellence in Molecular Plant Sciences,False,True,True
PRJEB90577,included,,0,,,0,0,0,University of Antwerp,False,True,True
PRJNA945262,included,,12,Bhattacharyya C,Paine SK,1,1,0,NIBMG,True,True,True
PRJNA1046283,excluded,age_unknown_no_evidence,0,,,0,0,0,Quadram Institute Bioscience,False,True,True
PRJNA768833,excluded,age_unknown_no_evidence,0,,,0,0,0,Tufts University,False,True,True
PRJNA813023,excluded,host_nonhuman,0,,,0,0,0,Shanghai Jiaotong University Afffiliated Six People's hospital,False,True,True
PRJNA398089,included,,47,Frolova MS,Rodionov DA,4,3,1,Harvard T.H. Chan School of Public Health; Integrative Human Microbiome Project,True,True,True
PRJNA850838,included,,0,,,0,0,0,Heilongjiang Bayi Agricultural University,False,True,True
PRJNA503909,excluded,age_adult_only,35,Argentini C,Ventura M,3,2,1,SAHMRI,True,True,True
PRJNA446038,excluded,age_unknown_no_evidence,21,Zeng S,Wang S,2,1,1,APC Microbiome Institute,True,True,True
PRJNA588513,included,,18,Tarracchini C,Milani C,3,3,0,The chinese university of Hong Kong,True,True,True
PRJNA663786,human_review,,0,,,0,0,0,University of Parma,False,True,True
PRJNA940347,excluded,site_excluded,0,,,0,0,0,Tianjin Medical University General Hospital,False,True,True
PRJNA986854,included,,13,Xiong S,Zhu Y,1,1,0,University of Chinese Academy of Sciences,True,True,True
PRJNA893826,included,,17,Nhu NTK,Schembri MA,1,1,0,University of Queensland,True,True,True
PRJEB63351,included,,14,Valles-Colomer M,Segata N,1,1,0,University of Trento,True,True,True
PRJNA813206,excluded,assay_other_nonshotgun,0,,,0,0,0,Shanghai Children's Hospital,False,True,True
PRJNA778457,excluded,host_synthetic,0,,,0,0,0,Zhejiang Academy of Agricultural Sciences,False,True,True
PRJNA589622,excluded,age_adult_only,9,Tarracchini C,Milani C,2,2,0,"University of California, San Francisco",True,True,True
PRJNA1249971,excluded,age_unknown_no_evidence,0,,,0,0,0,Cincinnati Childrens Hospital,False,True,True
PRJNA1283919,excluded,age_adult_only,0,,,0,0,0,University of Birmingham,False,True,True
PRJNA1474232,excluded,site_excluded,0,,,0,0,0,Zhejiang Provincial People's Hospital,False,True,True
PRJNA610982,excluded,site_excluded,12,Accorsi EK,Huttenhower C,1,1,0,Harvard University,True,True,True
PRJNA588514,excluded,age_unknown_no_evidence,0,,,0,0,0,The chinese university of Hong Kong,False,True,True
PRJNA930375,excluded,host_synthetic,8,Liu Y,Hwang G,1,0,1,Children's Hospital of Philadelphia,True,True,True
PRJNA814303,excluded,age_adult_only,0,,,0,0,0,Prolacta Bioscience,False,True,True
PRJNA844516,included,,0,,,0,0,0,Kyoto University,False,True,True
PRJNA590026,excluded,age_unknown_no_evidence,0,,,0,0,0,Hainan University,False,True,True
PRJEB89462,included,,8,Valenzuela-Diaz S,Korpela K,1,1,0,University of Helsinki,True,True,True
PRJEB42539,excluded,site_excluded,17,Binia A,Sakwinska O,1,1,0,Clinical Microbiomics,True,True,True
PRJNA1403442,excluded,age_child_over_36m,0,,,0,0,0,Duke University,False,True,True
PRJNA635738,excluded,age_maternal_only,15,Maqsood R,Lim ES,1,1,1,Arizona State University,True,True,True
PRJNA728680,excluded,age_adult_only,0,,,0,0,0,Emory University,False,True,True
PRJNA312439,excluded,host_synthetic,0,,,0,0,0,ETH Zurich,False,True,True
PRJNA975184,excluded,age_child_over_36m,22,Midya V,Eggers S,2,2,0,Icahn School of Medicine at Mount Sinai,True,True,True
PRJNA1217924,excluded,age_adult_only,0,,,0,0,0,University of Guelph,False,True,True
PRJNA1072081,included,,14,Naspolini NF,Taddei CR,1,1,0,University of Sao Paulo,True,True,True
PRJEB38528,excluded,age_maternal_only,30,Mancabelli L,Ventura M,3,3,0,Centre for Translational Microbiome Research (CTMR),True,True,True
PRJNA891875,excluded,age_adult_only,0,,,0,0,0,,False,False,True
PRJDB38518,human_review,,0,,,0,0,0,The Affiliated Hospital of Jiangsu University; NGDC,False,True,True
PRJNA394687,included,,0,,,0,0,0,Univ. of Maryland; MAL-ED; IGS,False,True,True
PRJNA320015,included,,9,Lugli GA,Ventura M,1,1,0,Harvard School of Public Health,True,True,True
PRJDB29360,excluded,age_unknown_no_evidence,0,,,0,0,0,Tsinghua University; NGDC,False,True,True
PRJNA808819,excluded,site_excluded,0,,,0,0,0,"Hangzhou Matridx Biotechnology Co., Ltd",False,True,True
PRJNA564995,human_review,,0,,,0,0,0,UNIVERSITY OF PENNSYLVANIA,False,True,True
PRJNA855128,excluded,age_adult_only,0,,,0,0,0,Affiliated Hospital of Weifang Medical University,False,True,True
PRJNA413160,included,,9,Lugli GA,Ventura M,1,1,0,Nestle Research Center,True,True,True
PRJNA1093424,excluded,age_child_over_36m,0,,,0,0,0,National Institute of Allergy and Infectious Diseases,False,True,True
PRJEB24771,included,,24,Fontana F,Milani C,4,4,0,University of California San Diego Microbiome Initiative,True,True,True
PRJNA243613,excluded,age_unknown_no_evidence,0,,,0,0,0,Research Institute Of Physico-Chemical Medicine,False,True,True
PRJNA385215,excluded,age_unknown_no_evidence,0,,,0,0,0,Centro de Investigacion y de Estudios Avanzados del IPN,False,True,True
PRJNA625520,excluded,age_adult_only,8,Hu H,Dai L,1,1,0,Xavier,True,True,True
PRJNA813736,excluded,age_unknown_no_evidence,0,,,0,0,0,APC Microbiome Ireland,False,True,True
PRJNA1081952,included,,24,Baldi A,Pasricha SR,2,2,0,The Walter and Eliza Hall Institute of Medical Research,True,True,True
PRJNA268964,included,,74,Nayfach S,Pollard KS,10,8,2,University of Oklahoma,True,True,True
PRJNA730640,included,,20,Song W,Yang YS,4,4,0,"Beijing Friendship Hospital, Capital Medical University",True,True,True
PRJNA800433,human_review,,0,,,0,0,0,JCVI,False,True,True
PRJNA1112983,included,,0,,,0,0,0,Sichuan University,False,True,True
PRJNA869587,included,,7,Li H,Lu H,1,1,0,Affiliated Hospital of Jiangsu University,True,True,True
PRJNA565268,excluded,age_adult_only,0,,,0,0,0,Shanghai Jiao Tong University Affiliated Six People's Hospital,False,True,True
PRJNA526942,included,,10,Brown BP,Jaspan HB,1,0,1,Seattle Children's,True,True,True
PRJNA789994,excluded,assay_amplicon_misfiled,0,,,0,0,0,Jiangnan University,False,True,True
PRJEB32631,included,,160,Shao Y,Lawley TD,19,19,0,Wellcome Sanger Institute,True,True,True
PRJNA686821,included,,14,Tarracchini C,Ventura M,1,1,0,The Chinese University of Hong Kong,True,True,True
PRJEB21933,excluded,age_child_over_36m,0,,,0,0,0,DALHOUSIE UNIVERSITY,False,True,True
PRJNA551032,excluded,age_adult_only,0,,,0,0,0,Wenzhou Medical University,False,True,True
PRJNA856821,excluded,age_unknown_no_evidence,0,,,0,0,0,Inner Mongolia Agricultural University,False,True,True
PRJEB73554,human_review,,0,,,0,0,0,KIng Abdulaziz university,False,True,True
PRJNA659140,excluded,age_unknown_no_evidence,0,,,0,0,0,Sichuan university,False,True,True
PRJEB106095,excluded,age_unknown_no_evidence,0,,,0,0,0,GENOME INSTITUTE OF SINGAPORE,False,True,True
PRJNA1273620,included,,31,Ng DZW,Ta LDH,1,1,1,National University of Singapore,True,True,True
PRJNA1513833,included,,0,,,0,0,0,University of Embu,False,True,True
PRJNA1082298,included,,0,,,0,0,0,Universidad San Francisco de Quito,False,True,True
PRJEB42363,included,,18,Rizzo SM,Turroni F,2,2,0,LSHTM,True,True,True
PRJNA1231247,included,,7,Liu F,Liu Y,1,1,0,Nanchang University,True,True,True
PRJNA1046438,included,,18,Mancabelli L,Ventura M,2,2,0,University of Parma,True,True,True
PRJNA874475,excluded,age_unknown_no_evidence,0,,,0,0,0,Hirszfeld Institute of Immunology and Experimental Therapy,False,True,True
PRJEB28609,excluded,assay_amplicon_misfiled,0,,,0,0,0,Universite Bordeaux,False,True,True
PRJNA477357,included,,0,,,0,0,0,University of Pennsylvania,False,True,True
PRJNA1177813,included,,9,Firrman J,Van den Abbeele P,1,1,0,Cryotpobiotix,True,True,True
PRJNA552296,excluded,age_unknown_no_evidence,0,,,0,0,0,Nankai University,False,True,True
PRJEB39661,excluded,age_child_over_36m,11,Ruiz-Ruiz S,Moya A,1,1,0,FISABIO - Public Health,True,True,True
PRJNA1453195,excluded,host_nonhuman,0,,,0,0,0,Inner Mongolia Agricultural University,False,True,True
PRJEB6997,excluded,age_adult_only,14,Tarracchini C,Milani C,3,2,1,Beijing Genome Institute,True,True,True
PRJNA1155606,excluded,site_excluded,0,,,0,0,0,Vanderbilt University Medical Center,False,True,True
PRJNA237362,excluded,age_child_over_36m,0,,,0,0,0,Broad Institute,False,True,True
PRJEB50977,excluded,age_unknown_no_evidence,0,,,0,0,0,European Molecular Biology Laboratory,False,True,True
PRJNA955235,included,,19,Verster AJ,Ross BD,2,2,0,Geisel School of Medicine at Dartmouth,True,True,True
PRJNA1141738,excluded,age_child_over_36m,0,,,0,0,0,Hangzhou Normal University,False,True,True
PRJNA564397,excluded,age_unknown_no_evidence,5,Schroer HW,Bosch DE,1,1,0,University of Nottingham,True,True,True
PRJNA432804,excluded,age_unknown_no_evidence,0,,,0,0,0,"West China Hospital, Sichuan University",False,True,True
PRJNA909023,excluded,age_unknown_no_evidence,0,,,0,0,0,Xbiome,False,True,True
PRJNA661100,excluded,access_controlled,0,,,0,0,0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,False,True,True
PRJNA496479,excluded,age_child_over_36m,4,Ormaasen I,Snipen L,1,1,0,University of Oregon,True,True,True
PRJNA297252,excluded,age_adult_only,13,Tarracchini C,Milani C,2,1,1,McGill University,True,True,True
PRJNA916952,included,,19,Walters WA,Chiu CY,3,3,0,"University of California, San Francisco",True,True,True
PRJNA973819,excluded,site_excluded,18,Shi X,Liu P,1,1,0,Shenzhen Center for Disease Control and Prevention,True,True,True
PRJNA1121295,excluded,age_unknown_no_evidence,13,Davido B,Caballero S,1,0,1,"Vedanta Biosciences, Inc.",True,True,True
PRJNA731529,included,,0,,,0,0,0,University of Illinois at Urbana-Champaign,False,True,True
PRJNA739008,included,,9,Schwartz DJ,Dantas G,1,0,1,Washington University in St. Louis,True,True,True
PRJNA311208,included,,11,Piper HG,Koh AY,1,0,1,University of Texas Southwestern Medical Center,True,True,True
